processed_date,source,movie_id,title,media_type,is_adult,release_date,languages,genres,rating,vote_count,metascore,popularity,runtime,imdb_movie_id,normalized_score
2025-05-22,IMDB,tt9619824,Final Destination: Bloodlines,movie,False,2025-05-16,en,['Horror'],7.1,25672,73,,110,tt9619824,72.44
2025-05-22,IMDB,tt28309594,Nonnas,movie,False,2025-05-09,en,['Comedy'],6.9,16165,57,,111,tt28309594,56.57
2025-05-22,IMDB,tt31193180,Sinners,movie,False,2025-04-18,en,"['Action', 'Drama', 'Horror']",8.1,102505,84,,137,tt31193180,83.36
2025-05-22,IMDB,tt20969586,Thunderbolts*,movie,False,2025-05-02,en,"['Action', 'Adventure', 'Crime']",7.6,93643,68,,127,tt20969586,67.48
2025-05-22,IMDB,tt9603208,Mission: Impossible - The Final Reckoning,movie,False,2025-05-23,en,"['Action', 'Adventure', 'Thriller']",7.6,14631,69,,169,tt9603208,68.47
2025-05-22,IMDB,tt3566834,A Minecraft Movie,movie,False,2025-04-04,en,"['Action', 'Adventure', 'Comedy']",5.8,91382,45,,101,tt3566834,44.66
2025-05-22,IMDB,tt6208148,Snow White,movie,False,2025-03-21,en,"['Adventure', 'Family', 'Fantasy']",1.7,357917,50,,109,tt6208148,49.62
2025-05-22,IMDB,tt3748528,Rogue One: A Star Wars Story,movie,False,2016-12-16,en,"['Action', 'Adventure', 'Sci-Fi']",7.8,720170,65,,133,tt3748528,64.51
2025-05-22,IMDB,tt9150192,A Working Man,movie,False,2025-03-28,en,"['Action', 'Thriller']",5.7,38197,52,,116,tt9150192,51.6
2025-05-22,IMDB,tt31434639,Warfare,movie,False,2025-04-11,en,"['Action', 'Drama', 'War']",7.4,37163,78,,95,tt31434639,77.41
2025-05-22,IMDB,tt29344903,The Ugly Stepsister,movie,False,2025-03-07,no,"['Comedy', 'Drama', 'Horror']",7.0,5654,70,,109,tt29344903,69.47
2025-05-22,IMDB,tt7068946,The Accountant 2,movie,False,2025-04-25,en,"['Action', 'Crime', 'Drama']",7.1,23905,58,,132,tt7068946,57.56
2025-05-22,IMDB,tt20215234,Conclave,movie,False,2024-10-25,en,"['Drama', 'Thriller']",7.4,188658,79,,120,tt20215234,78.4
2025-05-22,IMDB,tt0195714,Final Destination,movie,False,2000-03-17,en,"['Horror', 'Thriller']",6.7,305291,39,,98,tt0195714,38.7
2025-05-22,IMDB,tt9603212,Mission: Impossible - Dead Reckoning Part One,movie,False,2023-07-12,en,"['Action', 'Adventure', 'Thriller']",7.6,288777,81,,163,tt9603212,80.38
2025-05-22,IMDB,tt14123284,Havoc,movie,False,2025-04-25,en,"['Action', 'Crime', 'Drama']",5.7,44916,57,,107,tt14123284,56.57
2025-05-22,IMDB,tt20214908,Another Simple Favor,movie,False,2025-05-01,en,"['Comedy', 'Crime', 'Mystery']",5.3,19224,54,,120,tt20214908,53.59
2025-05-22,IMDB,tt29603959,Novocaine,movie,False,2025-03-14,en,"['Action', 'Comedy', 'Thriller']",6.5,43138,58,,110,tt29603959,57.56
2025-05-22,IMDB,tt30988739,Black Bag,movie,False,2025-03-14,en,"['Drama', 'Mystery', 'Romance']",6.8,45371,85,,93,tt30988739,84.35
2025-05-22,IMDB,tt9218128,Gladiator II,movie,False,2024-11-22,en,"['Action', 'Adventure', 'Drama']",6.5,240036,64,,148,tt9218128,63.51
2025-05-22,IMDB,tt26584495,Companion,movie,False,2025-01-31,en,"['Sci-Fi', 'Thriller']",6.9,106024,70,,97,tt26584495,69.47
2025-05-22,IMDB,tt8999762,The Brutalist,movie,False,2025-01-24,en,['Drama'],7.4,85410,90,,216,tt8999762,89.32
2025-05-22,IMDB,tt30955489,Until Dawn,movie,False,2025-04-25,en,"['Drama', 'Horror']",6.0,12466,47,,103,tt30955489,46.64
2025-05-22,IMDB,tt12299608,Mickey 17,movie,False,2025-03-07,en,"['Adventure', 'Comedy', 'Fantasy']",6.8,124197,72,,137,tt12299608,71.45
2025-05-22,IMDB,tt0082405,The Four Seasons,movie,False,1981-05-22,en,"['Comedy', 'Drama']",6.8,6684,55,,107,tt0082405,54.58
2025-05-22,IMDB,tt23060698,Clown in a Cornfield,movie,False,2025-05-09,en,"['Horror', 'Mystery', 'Thriller']",6.2,2863,55,,96,tt23060698,54.58
2025-05-22,IMDB,tt32149847,Drop,movie,False,2025-04-11,en,"['Drama', 'Mystery', 'Thriller']",6.2,21949,65,,95,tt32149847,64.51
2025-05-22,IMDB,tt0309593,Final Destination 2,movie,False,2003-01-31,en,"['Horror', 'Thriller']",6.2,197334,38,,90,tt0309593,37.71
2025-05-22,IMDB,tt7040874,A Simple Favor,movie,False,2018-09-14,en,"['Comedy', 'Crime', 'Mystery']",6.8,182561,67,,117,tt7040874,66.49
2025-05-22,IMDB,tt30057084,Babygirl,movie,False,2024-12-25,en,"['Drama', 'Romance', 'Thriller']",5.9,59556,79,,114,tt30057084,78.4
2025-05-22,IMDB,tt0290673,Irreversible,movie,False,2002-05-22,fr,"['Crime', 'Drama', 'Mystery']",7.3,155412,51,,97,tt0290673,50.61
2025-05-22,IMDB,tt30505698,Friendship,movie,False,2025-05-23,en,['Comedy'],7.6,1628,72,,100,tt30505698,71.45
2025-05-22,IMDB,tt28607951,Anora,movie,False,2024-11-08,en,"['Comedy', 'Drama', 'Romance']",7.5,193760,91,,139,tt28607951,90.31
2025-05-22,IMDB,tt14513804,Captain America: Brave New World,movie,False,2025-02-14,en,"['Action', 'Adventure', 'Sci-Fi']",5.7,111691,42,,118,tt14513804,41.68
2025-05-22,IMDB,tt2140479,The Accountant,movie,False,2016-10-14,en,"['Action', 'Crime', 'Drama']",7.3,357898,51,,128,tt2140479,50.61
2025-05-22,IMDB,tt1622979,Final Destination 5,movie,False,2011-08-12,en,"['Horror', 'Thriller']",5.9,135167,50,,92,tt1622979,49.62
2025-05-22,IMDB,tt0414982,Final Destination 3,movie,False,2006-02-10,en,"['Horror', 'Thriller']",5.9,166495,43,,93,tt0414982,42.67
2025-05-22,IMDB,tt11563598,A Complete Unknown,movie,False,2024-12-25,en,"['Biography', 'Drama', 'Music']",7.4,83808,70,,141,tt11563598,69.47
