source,movie_id,title,media_type,is_adult,release_date,languages,genres,rating,vote_count,metascore,popularity,runtime,imdb_movie_id,normalized_score
IMDB,tt2049403,Beetlejuice Beetlejuice,movie,False,2024-09-06,en,"['Comedy', 'Fantasy', 'Horror']",6.6,150820,62,,105,tt2049403,61.53
IMDB,tt0111161,The Shawshank Redemption,movie,False,1994-10-14,en,['Drama'],9.3,3046453,82,,142,tt0111161,81.37
IMDB,tt32378300,Summer of 69,movie,False,2025-05-09,en,"['Comedy', 'Drama']",5.8,1239,64,,101,tt32378300,63.51
IMDB,tt0899043,The Amateur,movie,False,2025-04-11,en,"['Action', 'Thriller']",6.7,20253,52,,122,tt0899043,51.6
IMDB,tt13652286,Fight or Flight,movie,False,2025-05-09,en,"['Action', 'Comedy']",6.4,11750,59,,102,tt13652286,58.55
IMDB,tt32558992,Heart Eyes,movie,False,2025-02-07,en,"['Comedy', 'Horror', 'Mystery']",6.1,21648,61,,97,tt32558992,60.53
IMDB,tt1745960,Top Gun: Maverick,movie,False,2022-05-27,en,"['Action', 'Drama']",8.2,776983,78,,130,tt1745960,77.41
IMDB,tt17676734,Americana,movie,False,2023-03-17,en,"['Action', 'Comedy', 'Crime']",6.1,252,85,,110,tt17676734,84.35
IMDB,tt4912910,Mission: Impossible - Fallout,movie,False,2018-07-27,en,"['Action', 'Adventure', 'Thriller']",7.7,396533,87,,147,tt4912910,86.34
IMDB,tt31184028,Together,movie,False,2025-07-30,en,"['Comedy', 'Horror', 'Romance']",5.9,468,76,,102,tt31184028,75.42
IMDB,tt13654226,The Gorge,movie,False,2025-02-14,en,"['Action', 'Adventure', 'Horror']",6.7,121554,57,,127,tt13654226,56.57
IMDB,tt30788842,Love Hurts,movie,False,2025-02-07,en,"['Action', 'Comedy', 'Romance']",5.3,10516,34,,83,tt30788842,33.74
IMDB,tt0172495,Gladiator,movie,False,2000-05-05,en,"['Action', 'Adventure', 'Drama']",8.5,1761384,67,,155,tt0172495,66.49
IMDB,tt27534307,Speak No Evil,movie,False,2024-09-13,en,"['Drama', 'Horror', 'Thriller']",6.8,104813,66,,110,tt27534307,65.5
IMDB,tt7888964,Nobody,movie,False,2021-03-26,en,"['Action', 'Crime', 'Drama']",7.4,351724,64,,92,tt7888964,63.51
IMDB,tt0068646,The Godfather,movie,False,1972-03-24,en,"['Crime', 'Drama']",9.2,2126705,100,,175,tt0068646,99.24
IMDB,tt0076759,Star Wars: Episode IV - A New Hope,movie,False,1977-05-25,en,"['Action', 'Adventure', 'Fantasy']",8.6,1510293,90,,121,tt0076759,89.31
IMDB,tt28015403,Heretic,movie,False,2024-11-08,en,"['Horror', 'Thriller']",7.0,146796,71,,111,tt28015403,70.46
IMDB,tt2381249,Mission: Impossible - Rogue Nation,movie,False,2015-07-31,en,"['Action', 'Adventure', 'Thriller']",7.4,426654,75,,131,tt2381249,74.43
IMDB,tt27714946,The Monkey,movie,False,2025-02-21,en,['Horror'],6.0,46914,62,,98,tt27714946,61.53
IMDB,tt8790086,Kraven the Hunter,movie,False,2024-12-13,en,"['Action', 'Adventure', 'Thriller']",5.5,59108,35,,127,tt8790086,34.73
IMDB,tt0816692,Interstellar,movie,False,2014-11-07,en,"['Adventure', 'Drama', 'Sci-Fi']",8.7,2347658,74,,169,tt0816692,73.44
IMDB,tt0120755,Mission: Impossible II,movie,False,2000-05-24,en,"['Action', 'Adventure', 'Thriller']",6.1,393715,59,,123,tt0120755,58.55
IMDB,tt1229238,Mission: Impossible - Ghost Protocol,movie,False,2011-12-21,en,"['Action', 'Adventure', 'Thriller']",7.4,544797,73,,132,tt1229238,72.44
IMDB,tt1262426,Wicked,movie,False,2024-11-22,en,"['Fantasy', 'Musical', 'Romance']",7.5,162529,73,,160,tt1262426,72.44
IMDB,tt0317919,Mission: Impossible III,movie,False,2006-05-05,en,"['Action', 'Adventure', 'Thriller']",6.9,405960,66,,126,tt0317919,65.5
IMDB,tt27813235,The Surfer,movie,False,2025-05-02,en,['Thriller'],6.5,3278,67,,100,tt27813235,66.49
IMDB,tt1375666,Inception,movie,False,2010-07-16,en,"['Action', 'Adventure', 'Sci-Fi']",8.8,2685115,74,,148,tt1375666,73.44
IMDB,tt0468569,The Dark Knight,movie,False,2008-07-18,en,"['Action', 'Crime', 'Drama']",9.0,3023219,84,,152,tt0468569,83.36
